type,name,module,path,hash
"yaml","manifest","_config","_config/manifest.yaml","3fb57f5e0dee611f27d48f6d827b788ada8de90ba9bf9302e136cb30a51a6e5f"
"csv","module-help","bmad-loop","bmad-loop/bmad-loop-setup/assets/module-help.csv","2ac9afe333ab6f506abf843e929f7b02ed4ad13d90e8c9468228893d64319335"
"csv","module-help","bmad-loop","bmad-loop/module-help.csv","2ac9afe333ab6f506abf843e929f7b02ed4ad13d90e8c9468228893d64319335"
"md","automation-mode","bmad-loop","bmad-loop/bmad-loop-sweep/automation-mode.md","f919d4747b67637a4f4d1558b528b298a9e942e5074bbd1d6f51dc136e3d8d2e"
"md","deferred-work-format","bmad-loop","bmad-loop/bmad-loop-sweep/deferred-work-format.md","005b10e15587affc5671f9732ae382dc0f1968c7ea05aa2da2d2575d0f7dca73"
"md","migration-mode","bmad-loop","bmad-loop/bmad-loop-sweep/migration-mode.md","3db4056530be6e0a34242cdd90fa089a18a29fed6cb9aae7c3af23d5972aa3dc"
"md","SKILL","bmad-loop","bmad-loop/bmad-loop-setup/SKILL.md","7ce92a9055890c11acbaf34dfdc8a8e40585a92552501c92235f631d902eb041"
"md","SKILL","bmad-loop","bmad-loop/bmad-loop-resolve/SKILL.md","266eb20d2a156961d0aefbaf1d368d9dd2f58db6d495e20335e835c941c1f77b"
"md","SKILL","bmad-loop","bmad-loop/bmad-loop-sweep/SKILL.md","e93a8c1f633e74deaaa1726f81c912819c96aeca8d9369034c9f377d88b47dfa"
"yaml","config","bmad-loop","bmad-loop/config.yaml","f69f89ceffcb26aa2eb7c83141b95e0e92685630ad3c9adbe1d8d895f8c9708d"
"yaml","module","bmad-loop","bmad-loop/bmad-loop-setup/assets/module.yaml","836b312e893ccfe30e8f66f57f86045d3af19ca2182670d4b32e32d4b82c144f"
"csv","module-help","bmb","bmb/bmad-bmb-setup/assets/module-help.csv","8e7ade46456855dda94d18756bc73c8c398a76a9f52ef023346a9ee9383ffa02"
"csv","module-help","bmb","bmb/bmad-module-builder/assets/setup-skill-template/assets/module-help.csv","d88d84b8aa1d02ca060e36041a26c529c6e8bc57c8ed5dff74f21815a601077e"
"csv","module-help","bmb","bmb/module-help.csv","29d1db6690a5874baf113e70d094b48f1dba16e9a5ea5b4c66aa66e6362c695f"
"html","report-shell","bmb","bmb/bmad-agent-builder/assets/report-shell.html","8932d0c1dc30377d44ce23ee01a526792755377d7706c29c977009793efb0b57"
"html","report-shell","bmb","bmb/bmad-workflow-builder/assets/report-shell.html","788e63aa4202ea1a3670758f319fa3e58be7ebbb3d9ffb17a872bd238910155a"
"json","adapter-claude-code","bmb","bmb/bmad-eval-runner/assets/adapter-claude-code.json","b1b73c16813fee1b3f12e60a52ba77ddc20d3c8f28b76786067208b7569a3891"
"md","agent-quality-principles","bmb","bmb/bmad-agent-builder/references/agent-quality-principles.md","5d16225c636dad41f31b6532170c75f29ba70a75b9e7d9c80e9f695c606de87f"
"md","agent-type-guidance","bmb","bmb/bmad-agent-builder/references/agent-type-guidance.md","3838b766384f04a90f902ef996663fd4ff1d742f230bc367fe37e9db66c75954"
"md","BOND-template","bmb","bmb/bmad-agent-builder/assets/BOND-template.md","42e6d24ca40b4fc0afd3be8c9ee5ca7cf10a52d00bc67103a6f4753cf7e17298"
"md","build-process","bmb","bmb/bmad-agent-builder/references/build-process.md","87fe698d45d4d00a36868a772ceca4be8660c8ade5a01a95ec6f4ac062ddd694"
"md","build-process","bmb","bmb/bmad-workflow-builder/references/build-process.md","e313aa321e3e7efa9ddbb17ac540945aaa12f3689355d638d1415b96d5b596a4"
"md","CAPABILITIES-template","bmb","bmb/bmad-agent-builder/assets/CAPABILITIES-template.md","2b4fe4171151abe102a9110f383eed34f8759bbebccfe444474db1b37c5f4769"
"md","capability-authoring-template","bmb","bmb/bmad-agent-builder/assets/capability-authoring-template.md","d1d7fcab0d8f60f79fe10ca0cbac11ad3d280ad67604399cde3a76ef97af0d42"
"md","complex-workflow-patterns","bmb","bmb/bmad-workflow-builder/references/complex-workflow-patterns.md","7abb90873bbdd9864ab77279565475d137cca78433ec59126f36d40bad461439"
"md","create-module","bmb","bmb/bmad-module-builder/references/create-module.md","371fb8863414fccdadd5e2cfebfc44c7232602c931cc313eeecdcfbe3361da69"
