hrNo,hrName,birthday,sex,faHrNo,faHrName,moHrNo,moHrName,damsireNo,damsireName,src
0058062,가라카이,20240324,수,6149511,CARACARO,6128634,ALGOWILD,,,API8_2
0055809,가리라,20240323,암,0032990,한센,0025316,달리자,,,API8_2
0051451,가야스타,20220426,거,0036593,온이글즈윙즈,0019808,가야공주,,,API8_2
0055947,가온의빛,20240323,암,0032990,한센,0034627,지상제일해피,,,API8_2
0055530,가온히어로,20220224,거,6967942,TWIRLING CANDY,6151019,UNBRIDLED CLASS,,,API8_2
1412316,간다고,20210319,암,0033566,파워블레이드,0020802,하늘기상,,,API8_2
0060346,감사의힘,20230413,수,7000178,INDEPENDENCE HALL,6149777,UNBRIDLEDEXPLOSION,,,API8_2
0053948,갓스피드,20230430,암,7000060,나이트러스,0038551,아르카디아,,,API8_2
0051286,강나루,20220128,수,0044420,레볼루셔너리,0029797,금순이엄지,,,API8_2
0046672,강남불청객,20210202,수,0034735,페더럴리스트,0040130,새즈미즈엘리자베,,,API8_2
0061136,강수,20230906,암,7113276,GLENFIDDICH,7169798,LICENCED TO WIN,,,API8_2
0045700,강철전사,20200318,수,0039750,퍼지,0040234,소우전러브,,,API8_2
0050261,강철파워,20210308,수,0034637,라이언메탈,0035142,선플라자,,,API8_2
0045769,강풍마,20200314,수,0025790,피스룰즈,0029921,원더드리머,,,API8_2
0053449,강한감마,20230424,암,0046317,레이스데이,0041953,퍼스널리유어즈,,,API8_2
0053410,강한프린세스,20230312,암,0038245,미스치비어슬리,0037515,퀸오피서,,,API8_2
0056274,개마무사,20240423,수,0038245,미스치비어슬리,0041194,예싸퀸,,,API8_2
0051386,거센강호,20220402,수,6115982,WORLD OF TROUBLE,0050647,케이케이스벅아이,,,API8_2
0055698,거센기쁨,20240326,수,0032990,한센,0040811,굿바우,,,API8_2
0053010,거센대로,20230220,수,0038391,카우보이칼,0040300,거센질주,,,API8_2
0053877,거센돌격,20230416,거,0041566,투아너앤드서브,0040201,매글레브,,,API8_2
0055201,거센돌파,20240203,수,0038387,콩코드포인트,0040300,거센질주,,,API8_2
1412290,거센반격,20210122,거,0041566,투아너앤드서브,0030842,랩소디,,,API8_2
0055521,거센번개,20240216,수,0046317,레이스데이,0041952,크래프티블루카트,,,API8_2
0054782,거센빅맨,20220505,수,6149543,INSTAGRAND,6785093,AVIE'S TALE,,,API8_2
0055495,거센영웅,20240227,수,0036732,머스킷맨,0044101,메니어게인,,,API8_2
0053196,거센펀치,20230322,거,0045050,섀클포드,0036113,특별스타,,,API8_2
0051947,거센폭주,20220405,수,0045050,섀클포드,0036667,테이터톤터,,,API8_2
0053817,거센함성,20230411,수,0041566,투아너앤드서브,0027476,콰이어트터치,,,API8_2
0055472,걸작루비,20240320,암,0046317,레이스데이,0044971,퀴리아,,,API8_2
0055821,걸작마루,20240320,수,0038245,미스치비어슬리,0043483,문학퀸,,,API8_2
0055491,걸작번개,20240324,수,0032258,트리플나인,0033987,매드파워,,,API8_2
0055193,걸작윤슬,20240122,암,0037972,올드패션드,0052747,발즈프린세스,,,API8_2
0053691,걸작크라운,20230507,거,0027443,컬러즈플라잉,0036247,리드머니,,,API8_2
0052818,걸작티아라,20230126,암,0046317,레이스데이,0029416,라이드미투더문,,,API8_2
0045589,검이불루,20200310,암,0038332,커널존,0036468,블레이징스타,,,API8_2
0056341,게티즈버그,20240327,수,6149534,글로벌캠페인,0055130,파인인수지애즘,,,API8_2
0051211,겨울장미,20220404,암,0035295,나스카프린스,0040141,플래시어필,,,API8_2
0055616,경아퀸,20240316,암,0034254,천지스톰,0044992,슬리프리스,,,API8_2
0053580,고산봉,20230319,거,0032990,한센,0035291,월드피스,,,API8_2
0056766,고스트불릿,20240612,수,7000060,나이트러스,0020015,프린세스섬,,,API8_2
0056210,고스트선더,20240418,수,0038245,미스치비어슬리,0035796,뉴파트너,,,API8_2
0055643,고스트소닉,20240222,암,0032990,한센,0019701,배블레이디,,,API8_2
0056309,고스트윈드,20240320,암,0033566,파워블레이드,0052768,파이퍼즈스카이,,,API8_2
0047099,고스트크리솔,20210326,거,0038227,크리솔라이트,0035094,리치여장군,,,API8_2
0061437,고스트플래시,20240403,수,0038387,콩코드포인트,0034688,위대한참전,,,API8_2
0063147,고저스윈,20200904,거,6112066,PRESS STATEMENT,7181725,HOLLYWELL,,,API8_2
