rcDate,rcDay,meet,rcNo,rcName,rcDist,rank,budam,prizeCond,ageCond,sexCond,chulNo,hrNo,hrName,hrNameEn,name,age,sex,ilsu,rating,wgBudam,jkNo,jkName,trNo,trName,owNo,owName,chaksun1,chaksun2,chaksun3,chaksun4,chaksun5
20260828,금요일,부산경남,1,일반,1000,국6등급,별정A,R0~0,2세,암,1,0057333,퍼플퀸,PURPLE QUEEN,한국,2,암,65,0,52.5,080605,서강주,070086,권승주,121053,퍼플라인,24750000,9900000,6300000,2250000,1800000
20260828,금요일,부산경남,1,일반,1000,국6등급,별정A,R0~0,2세,암,2,0055212,미스팰컨,MISS FALCON,한국,2,암,65,0,52.5,080566,최은경,070173,구민성,124010,럭키,24750000,9900000,6300000,2250000,1800000
20260828,금요일,부산경남,1,일반,1000,국6등급,별정A,R0~0,2세,암,3,0055899,그레이윈드,GREY WIND,한국,2,암,65,0,52.5,080568,다실바,070176,구영준,117054,하늬바람,24750000,9900000,6300000,2250000,1800000
20260828,금요일,부산경남,1,일반,1000,국6등급,별정A,R0~0,2세,암,4,0055986,천년여제,CHEONNYEON YEOJE,한국,2,암,65,0,52.5,080580,전진구,070291,유현명,112274,송승규,24750000,9900000,6300000,2250000,1800000
20260828,금요일,부산경남,1,일반,1000,국6등급,별정A,R0~0,2세,암,5,0055923,레이스나인,RACE NINE,한국,2,암,65,0,52.5,080484,서승운,070186,라이스,115007,조영철,24750000,9900000,6300000,2250000,1800000
20260828,금요일,부산경남,1,일반,1000,국6등급,별정A,R0~0,2세,암,6,0055874,비트원,BEAT WON,한국,2,암,65,0,52.5,080421,송경윤,070223,강은석,123017,양진영,24750000,9900000,6300000,2250000,1800000
20260828,금요일,부산경남,1,일반,1000,국6등급,별정A,R0~0,2세,암,7,0056800,에어나이스,AIR NICE,한국,2,암,65,0,52.5,080122,신형철,070137,조용배,106272,김근영,24750000,9900000,6300000,2250000,1800000
20260828,금요일,부산경남,1,일반,1000,국6등급,별정A,R0~0,2세,암,8,0055283,오아시스셀럽,OASIS CELEB,한국,2,암,65,0,52.5,080565,정도윤,070130,백광열,105127,이종훈,24750000,9900000,6300000,2250000,1800000
20260828,금요일,부산경남,2,일반,1600,국6등급,별정A,R0~0,연령오픈,성별오픈,1,0053787,신흥강타자,SINHEUNG GANGTAJA,한국,3,거,65,0,56,080122,신형철,070137,조용배,201751,차청일,16500000,6600000,4200000,1500000,1200000
20260828,금요일,부산경남,2,일반,1600,국6등급,별정A,R0~0,연령오픈,성별오픈,2,0056976,영광의크라운,YEONGGWANGUICROWN,한국,2,암,65,0,52.5,080546,박재이,070223,강은석,110048,변창덕,16500000,6600000,4200000,1500000,1200000
20260828,금요일,부산경남,2,일반,1600,국6등급,별정A,R0~0,연령오픈,성별오픈,3,0053805,원플러스원,ONE PLUS ONE,한국,3,거,65,0,56,080421,송경윤,070263,양영남,103007,박웅진,16500000,6600000,4200000,1500000,1200000
20260828,금요일,부산경남,2,일반,1600,국6등급,별정A,R0~0,연령오픈,성별오픈,4,0056196,용비천마,YONGBI CHEONMA,한국,2,수,65,0,54.5,080484,서승운,070250,김도현,122013,정성진,16500000,6600000,4200000,1500000,1200000
20260828,금요일,부산경남,2,일반,1600,국6등급,별정A,R0~0,연령오픈,성별오픈,5,0053628,지롤시대,GIROL SIDAE,한국,3,암,65,0,54,080483,유광희,070136,민장기,010644,장철환,16500000,6600000,4200000,1500000,1200000
20260828,금요일,부산경남,2,일반,1600,국6등급,별정A,R0~0,연령오픈,성별오픈,6,0053916,타이거어퍼컷,TIGER UPPERCUT,한국,3,거,65,0,56,080565,정도윤,070291,유현명,112270,김형란,16500000,6600000,4200000,1500000,1200000
20260828,금요일,부산경남,2,일반,1600,국6등급,별정A,R0~0,연령오픈,성별오픈,7,0052136,위스트롱,WE STRONG,한국,4,암,65,0,54,080580,전진구,070137,조용배,121053,퍼플라인,16500000,6600000,4200000,1500000,1200000
