age,ageCond,buG1fAccTime,buG1fOrd,buG2fAccTime,buG2fOrd,buG3fAccTime,buG3fOrd,buG4fAccTime,buG4fOrd,buG6fAccTime,buG6fOrd,buG8fAccTime,buG8fOrd,buS1fAccTime,buS1fOrd,buS1fTime,bu_10_8fTime,bu_1fGTime,bu_2fGTime,bu_3fGTime,bu_4_2fTime,bu_6_4fTime,bu_8_6fTime,budam,buga1,buga2,buga3,chaksun1,chaksun2,chaksun3,chaksun4,chaksun5,chulNo,diffUnit,hrName,hrNameEn,hrNo,ilsu,jeG1fTime,jeG3fTime,jeS1fTime,je_1cTime,je_2cTime,je_3cTime,je_4cTime,jkName,jkNameEn,jkNo,meet,name,ord,owName,owNameEn,owNo,plcOdds,prizeCond,rank,rating,rcDate,rcDay,rcDist,rcName,rcNo,rcTime,seG1fAccTime,seG3fAccTime,seS1fAccTime,se_1cAccTime,se_2cAccTime,se_3cAccTime,se_4cAccTime,sex,sexCond,sjG1fOrd,sjG3fOrd,sjS1fOrd,sj_1cOrd,sj_2cOrd,sj_3cOrd,sj_4cOrd,trName,trNameEn,trNo,track,weather,wgBudam,wgHr,winOdds
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,1,-,퍼플퀸,PURPLE QUEEN,0057333,65,0,0,0,0,0,0,0,서강주,Seo Gang Ju,080605,부산경남,한국,0,퍼플라인,Purple Line,121053,0,R0~0,국6등급,0,20260828,금요일,1000,일반,1,0,0,0,0,0,0,0,0,암,암,0,0,0,0,0,0,0,권승주,Kwon Sung Ju,070086, (0%),-,52.5,0(),0
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,2,-,미스팰컨,MISS FALCON,0055212,65,0,0,0,0,0,0,0,최은경,Choi Eun Gyeong,080566,부산경남,한국,0,럭키,Lucky,124010,0,R0~0,국6등급,0,20260828,금요일,1000,일반,1,0,0,0,0,0,0,0,0,암,암,0,0,0,0,0,0,0,구민성,Gu Min Sung,070173, (0%),-,52.5,0(),0
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,3,-,그레이윈드,GREY WIND,0055899,65,0,0,0,0,0,0,0,다실바,Francisco Da Silva,080568,부산경남,한국,0,하늬바람,Ha Nui Ba Ram,117054,0,R0~0,국6등급,0,20260828,금요일,1000,일반,1,0,0,0,0,0,0,0,0,암,암,0,0,0,0,0,0,0,구영준,Koo Young Jun,070176, (0%),-,52.5,0(),0
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,4,-,천년여제,CHEONNYEON YEOJE,0055986,65,0,0,0,0,0,0,0,전진구,Jeon Jin Gu,080580,부산경남,한국,0,송승규,Song Seung Gyu,112274,0,R0~0,국6등급,0,20260828,금요일,1000,일반,1,0,0,0,0,0,0,0,0,암,암,0,0,0,0,0,0,0,유현명,You Hyun Myung,070291, (0%),-,52.5,0(),0
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,5,-,레이스나인,RACE NINE,0055923,65,0,0,0,0,0,0,0,서승운,Seo Seung Un,080484,부산경남,한국,0,조영철,Cho Young Chul,115007,0,R0~0,국6등급,0,20260828,금요일,1000,일반,1,0,0,0,0,0,0,0,0,암,암,0,0,0,0,0,0,0,라이스,Bart Rice,070186, (0%),-,52.5,0(),0
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,6,-,비트원,BEAT WON,0055874,65,0,0,0,0,0,0,0,송경윤,Song Kyeong Yun,080421,부산경남,한국,0,양진영,Yang jin young,123017,0,R0~0,국6등급,0,20260828,금요일,1000,일반,1,0,0,0,0,0,0,0,0,암,암,0,0,0,0,0,0,0,강은석,Kang Eun Seok,070223, (0%),-,52.5,0(),0
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,7,-,에어나이스,AIR NICE,0056800,65,0,0,0,0,0,0,0,신형철,Shin Hyoung Chul,080122,부산경남,한국,0,김근영,Kim Geun Young,106272,0,R0~0,국6등급,0,20260828,금요일,1000,일반,1,0,0,0,0,0,0,0,0,암,암,0,0,0,0,0,0,0,조용배,Cho Yong Bae,070137, (0%),-,52.5,0(),0
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,8,-,오아시스셀럽,OASIS CELEB,0055283,65,0,0,0,0,0,0,0,정도윤,Jung Do Yun,080565,부산경남,한국,0,이종훈,Lee Jong Hun,105127,0,R0~0,국6등급,0,20260828,금요일,1000,일반,1,0,0,0,0,0,0,0,0,암,암,0,0,0,0,0,0,0,백광열,Baik Kwang Yeol,070130, (0%),-,52.5,0(),0
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,1,-,신흥강타자,SINHEUNG GANGTAJA,0053787,65,0,0,0,0,0,0,0,신형철,Shin Hyoung Chul,080122,부산경남,한국,0,차청일,Cha Cheong Il,201751,0,R0~0,국6등급,0,20260828,금요일,1600,일반,2,0,0,0,0,0,0,0,0,거,성별오픈,0,0,0,0,0,0,0,조용배,Cho Yong Bae,070137, (0%),-,56,0(),0
2,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,2,-,영광의크라운,YEONGGWANGUICROWN,0056976,65,0,0,0,0,0,0,0,박재이,Park Jae I,080546,부산경남,한국,0,변창덕,Byun Chang Duck,110048,0,R0~0,국6등급,0,20260828,금요일,1600,일반,2,0,0,0,0,0,0,0,0,암,성별오픈,0,0,0,0,0,0,0,강은석,Kang Eun Seok,070223, (0%),-,52.5,0(),0
