rcDate,rcDay,meet,rcNo,발주시각,rcDist,rank,rcName,budam,prizeCond,ageCond,sexCond,dusu,chulNo,hrNo,hrName,prd,age,sex,ilsu,rating,wgBudam,jkNo,jkName,trNo,trName,owName,chaksun1
20260828,금요일,부산경남,1,12:50,1000,국6등급,일반,별정A,R0~0,2세,암,8,1,0057333,퍼플퀸,한국,2,암,65,-,52.5,080605,서강주,070086,권승주,퍼플라인,24750000
20260828,금요일,부산경남,1,12:50,1000,국6등급,일반,별정A,R0~0,2세,암,8,2,0055212,미스팰컨,한국,2,암,65,0,52.5,080566,최은경,070173,구민성,럭키,24750000
20260828,금요일,부산경남,1,12:50,1000,국6등급,일반,별정A,R0~0,2세,암,8,3,0055899,그레이윈드,한국,2,암,65,0,52.5,080568,다실바,070176,구영준,하늬바람,24750000
20260828,금요일,부산경남,1,12:50,1000,국6등급,일반,별정A,R0~0,2세,암,8,4,0055986,천년여제,한국,2,암,65,-,52.5,080580,전진구,070291,유현명,송승규,24750000
20260828,금요일,부산경남,1,12:50,1000,국6등급,일반,별정A,R0~0,2세,암,8,5,0055923,레이스나인,한국,2,암,65,0,52.5,080484,서승운,070186,라이스,조영철,24750000
20260828,금요일,부산경남,1,12:50,1000,국6등급,일반,별정A,R0~0,2세,암,8,6,0055874,비트원,한국,2,암,65,-,52.5,080421,송경윤,070223,강은석,양진영,24750000
20260828,금요일,부산경남,1,12:50,1000,국6등급,일반,별정A,R0~0,2세,암,8,7,0056800,에어나이스,한국,2,암,65,-,52.5,080122,신형철,070137,조용배,김근영,24750000
20260828,금요일,부산경남,1,12:50,1000,국6등급,일반,별정A,R0~0,2세,암,8,8,0055283,오아시스셀럽,한국,2,암,65,-,52.5,080565,정도윤,070130,백광열,이종훈,24750000
20260828,금요일,부산경남,2,13:40,1600,국6등급,일반,별정A,R0~0,연령오픈,성별오픈,11,1,0053787,신흥강타자,한국,3,거,65,0,56,080122,신형철,070137,조용배,차청일,16500000
20260828,금요일,부산경남,2,13:40,1600,국6등급,일반,별정A,R0~0,연령오픈,성별오픈,11,2,0056976,영광의크라운,한국,2,암,65,0,52.5,080546,박재이,070223,강은석,변창덕,16500000
20260828,금요일,부산경남,2,13:40,1600,국6등급,일반,별정A,R0~0,연령오픈,성별오픈,11,3,0053805,원플러스원,한국,3,거,65,0,56,080421,송경윤,070263,양영남,박웅진,16500000
20260828,금요일,부산경남,2,13:40,1600,국6등급,일반,별정A,R0~0,연령오픈,성별오픈,11,4,0056196,용비천마,한국,2,수,65,0,54.5,080484,서승운,070250,김도현,정성진,16500000
20260828,금요일,부산경남,2,13:40,1600,국6등급,일반,별정A,R0~0,연령오픈,성별오픈,11,5,0053628,지롤시대,한국,3,암,65,0,54,080483,유광희,070136,민장기,장철환,16500000
20260828,금요일,부산경남,2,13:40,1600,국6등급,일반,별정A,R0~0,연령오픈,성별오픈,11,6,0053916,타이거어퍼컷,한국,3,거,65,0,56,080565,정도윤,070291,유현명,김형란,16500000
20260828,금요일,부산경남,2,13:40,1600,국6등급,일반,별정A,R0~0,연령오픈,성별오픈,11,7,0052136,위스트롱,한국,4,암,65,0,54,080580,전진구,070137,조용배,퍼플라인,16500000
20260828,금요일,부산경남,2,13:40,1600,국6등급,일반,별정A,R0~0,연령오픈,성별오픈,11,8,0053371,포에버로드,한국(포),3,암,65,0,52,080610,(-2)이홍락,070134,강형곤,하나레저,16500000
20260828,금요일,부산경남,2,13:40,1600,국6등급,일반,별정A,R0~0,연령오픈,성별오픈,11,9,0056540,닥터에이트,한국,2,수,65,0,54.5,080562,이동하,070130,백광열,권혁희,16500000
20260828,금요일,부산경남,2,13:40,1600,국6등급,일반,별정A,R0~0,연령오픈,성별오픈,11,10,0054004,레드킹,한국,3,수,65,0,53,080620,(-3)손경민,070086,권승주,정우종합건설(주),16500000
20260828,금요일,부산경남,2,13:40,1600,국6등급,일반,별정A,R0~0,연령오픈,성별오픈,11,11,0053938,챔프의향기,한국,3,암,65,0,54,080566,최은경,070128,임금만,류주영,16500000
20260828,금요일,부산경남,3,14:30,1400,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,1,0053485,베스트타이거,한국,3,거,65,30,51.5,080620,(-3)손경민,070249,문현철,(주)메타플렉스,24750000
20260828,금요일,부산경남,3,14:30,1400,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,2,0053154,보령의신용,한국,3,암,65,35,55,080565,정도윤,070291,유현명,최원길,24750000
20260828,금요일,부산경남,3,14:30,1400,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,3,0052899,플렉스칸,한국,3,수,65,28,53.5,080566,최은경,070136,민장기,송문관,24750000
20260828,금요일,부산경남,3,14:30,1400,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,4,0053841,닥터에이스,한국,3,수,65,25,52.5,080605,서강주,070130,백광열,권혁희,24750000
20260828,금요일,부산경남,3,14:30,1400,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,5,0051666,남해매직,한국,4,수,65,29,54,080551,진겸,070128,임금만,김갑수,24750000
20260828,금요일,부산경남,3,14:30,1400,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,6,0047545,앨리스마린,한국,5,암,65,31,53,080421,송경윤,070263,양영남,이경희,24750000
20260828,금요일,부산경남,3,14:30,1400,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,7,0054866,월드트리,한국,3,거,65,30,54.5,080562,이동하,070302,손병철,김지열,24750000
20260828,금요일,부산경남,3,14:30,1400,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,8,0046391,하늘불패,한국,6,수,65,35,57,080532,채상현,070226,박재호,허도행,24750000
20260828,금요일,부산경남,3,14:30,1400,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,9,0045997,투투플라잉,한국(포),6,암,65,31,53,080122,신형철,070137,조용배,차청일,24750000
20260828,금요일,부산경남,3,14:30,1400,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,10,0050744,달빛위에,한국,4,거,65,26,52.5,080568,다실바,070194,토마스,페가수스,24750000
20260828,금요일,부산경남,3,14:30,1400,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,11,0051626,퀸더골드,한국,4,암,65,24,52.5,080431,이성재,070086,권승주,조창환,24750000
20260828,금요일,부산경남,4,15:20,1300,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,1,0053814,가온보스,미국,5,거,65,30,54.5,080568,다실바,070136,민장기,강호남,24750000
20260828,금요일,부산경남,4,15:20,1300,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,2,0053973,태평플렉스,한국,3,암,65,25,52.5,080606,신윤섭,070143,하무선,에스지이건설,24750000
20260828,금요일,부산경남,4,15:20,1300,국5등급,일반,핸디캡,R1~35,연령오픈,성별오픈,11,3,0054672,무쌍의반석,미국,4,거,65,34,56.5,080580,전진구,070263,양영남,임병효,24750000
