id,이름,출주수,1착,2착,3착,승률%,복승률%,삼복승률%,평균착순
003080,문현진,1732,295,221,223,17.0,29.8,42.7,6.54
003081,김준호,1719,241,203,183,14.0,25.8,36.5,7.09
003070,전현준,1702,218,199,208,12.8,24.5,36.7,7.04
003082,김홍권,1666,236,206,198,14.2,26.5,38.4,7.02
003075,원유일,1633,109,156,158,6.7,16.2,25.9,7.76
003087,임재광,1623,221,184,198,13.6,25.0,37.2,6.54
080513,송재철,1592,147,142,158,9.2,18.2,28.1,7.28
080568,다실바,1518,279,211,177,18.4,32.3,43.9,5.91
080484,서승운,1514,352,243,218,23.2,39.3,53.7,5.1
003077,강수한,1511,182,174,174,12.0,23.6,35.1,6.87
080476,장추열,1504,225,185,167,15.0,27.3,38.4,7.33
080550,조재로,1500,179,157,170,11.9,22.4,33.7,7.09
080602,임다빈,1493,120,138,159,8.0,17.3,27.9,7.34
003092,이성민,1485,111,107,124,7.5,14.7,23.0,7.78
080423,최시대,1479,171,163,154,11.6,22.6,33.0,6.21
003089,박성광,1467,305,250,185,20.8,37.8,50.4,7.34
080533,조상범,1439,44,111,99,3.1,10.8,17.7,8.81
080431,이성재,1418,122,115,142,8.6,16.7,26.7,7.35
080486,이혁,1415,179,159,164,12.7,23.9,35.5,7.96
080546,박재이,1373,153,151,159,11.1,22.1,33.7,6.18
080421,송경윤,1367,119,134,122,8.7,18.5,27.4,7.0
080417,유승완,1361,149,140,150,10.9,21.2,32.3,6.81
080405,김용근,1323,178,147,129,13.5,24.6,34.3,6.6
080562,이동하,1294,195,147,143,15.1,26.4,37.5,7.3
080565,정도윤,1282,148,148,133,11.5,23.1,33.5,7.28
080530,정정희,1265,117,110,120,9.2,17.9,27.4,9.27
080578,김효정,1210,87,90,117,7.2,14.6,24.3,8.47
080438,조인권,1203,101,102,119,8.4,16.9,26.8,7.29
080566,최은경,1175,86,99,107,7.3,15.7,24.9,7.66
080582,빅투아르,1165,133,149,113,11.4,24.2,33.9,6.89
003053,안득수,1165,79,119,91,6.8,17.0,24.8,7.39
080473,김정준,1158,94,89,119,8.1,15.8,26.1,7.69
080608,오수철,1145,40,73,67,3.5,9.9,15.7,8.54
080603,김태희,1133,68,60,80,6.0,11.3,18.4,8.81
080401,김동영,1115,56,70,82,5.0,11.3,18.7,7.52
080532,채상현,1114,59,89,89,5.3,13.3,21.3,7.38
080551,진겸,1056,173,147,114,16.4,30.3,41.1,5.92
003058,한영민,1054,85,78,106,8.1,15.5,25.5,8.04
080403,김어수,1046,50,68,71,4.8,11.3,18.1,7.41
080580,전진구,1033,45,58,73,4.4,10.0,17.0,7.6
080515,조한별,1023,56,72,72,5.5,12.5,19.6,8.79
080516,다나카,1009,121,97,112,12.0,21.6,32.7,6.78
003095,박재희,1006,62,94,105,6.2,15.5,25.9,7.58
080611,푸르칸,912,69,95,79,7.6,18.0,26.6,7.36
080434,김철호,871,62,60,66,7.1,14.0,21.6,8.66
080606,신윤섭,859,40,50,54,4.7,10.5,16.8,8.49
003044,정명일,850,47,71,60,5.5,13.9,20.9,8.72
003061,곽용남,819,46,54,68,5.6,12.2,20.5,8.68
003096,양민재,748,44,52,65,5.9,12.8,21.5,8.41
080512,김태훈,746,71,51,64,9.5,16.4,24.9,7.75
080612,김성현,732,39,50,61,5.3,12.2,20.5,7.64
003094,곽석,704,50,47,65,7.1,13.8,23.0,9.69
080605,서강주,679,29,46,34,4.3,11.0,16.1,7.95
080617,코지,646,86,85,73,13.3,26.5,37.8,5.91
080610,이홍락,635,22,33,31,3.5,8.7,13.5,7.9
080616,마이아,614,100,100,78,16.3,32.6,45.3,6.21
080487,임기원,586,75,70,69,12.8,24.7,36.5,6.79
080361,최범현,574,87,89,67,15.2,30.7,42.3,6.66
003055,장우성,572,33,50,51,5.8,14.5,23.4,8.33
080100,김옥성,549,12,25,33,2.2,6.7,12.8,9.03
080483,유광희,505,15,23,38,3.0,7.5,15.0,8.13
080621,우인철,431,32,47,36,7.4,18.3,26.7,7.07
003084,김한남,398,23,30,25,5.8,13.3,19.6,8.85
080599,김태현,391,19,20,28,4.9,10.0,17.1,9.32
080122,신형철,388,33,47,22,8.5,20.6,26.3,8.16
003086,이동준,382,19,27,32,5.0,12.0,20.4,7.21
003073,김다영,376,11,29,23,2.9,10.6,16.8,8.82
080620,손경민,335,18,39,35,5.4,17.0,27.5,6.4
080622,조성환,320,9,10,19,2.8,5.9,11.9,9.27
080624,루이스,307,26,31,25,8.5,18.6,26.7,8.21
