age,ageCond,buG1fAccTime,buG1fOrd,buG2fAccTime,buG2fOrd,buG3fAccTime,buG3fOrd,buG4fAccTime,buG4fOrd,buG6fAccTime,buG6fOrd,buG8fAccTime,buG8fOrd,buS1fAccTime,buS1fOrd,buS1fTime,bu_10_8fTime,bu_1fGTime,bu_2fGTime,bu_3fGTime,bu_4_2fTime,bu_6_4fTime,bu_8_6fTime,budam,buga1,buga2,buga3,chaksun1,chaksun2,chaksun3,chaksun4,chaksun5,chulNo,diffUnit,hrName,hrNameEn,hrNo,ilsu,jeG1fTime,jeG3fTime,jeS1fTime,je_1cTime,je_2cTime,je_3cTime,je_4cTime,jkName,jkNameEn,jkNo,meet,name,ord,owName,owNameEn,owNo,plcOdds,prizeCond,rank,rating,rcDate,rcDay,rcDist,rcName,rcNo,rcTime,seG1fAccTime,seG3fAccTime,seS1fAccTime,se_1cAccTime,se_2cAccTime,se_3cAccTime,se_4cAccTime,sex,sexCond,sjG1fOrd,sjG3fOrd,sjS1fOrd,sj_1cOrd,sj_2cOrd,sj_3cOrd,sj_4cOrd,trName,trNameEn,trNo,track,weather,wgBudam,wgHr,winOdds
2,4세이하,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,7000000,3220000,2100000,980000,700000,7,-,비상천하,BISANGCHEONHA,3109220,71,0,0,0,0,0,0,0,김준호,Kim Jun Ho,003081,제주,한국,0,백마,BACKMA,124034,0,700만원 미만,제6등급,0,20260911,금요일,900,일반,1,0,0,0,0,0,0,0,0,거,성별오픈,0,0,0,0,0,0,0,강태종,Gang Tae Jong,002036, (0%),-,55,0(),0
3,4세이하,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,7000000,3220000,2100000,980000,700000,5,-,리더형,LEADERHYEONG,3108443,71,0,0,0,0,0,0,0,문현진,Mun Hyeon Jin,003080,제주,한국,0,이충헌,LEE MCHUNG HEON,121040,0,700만원 미만,제6등급,0,20260911,금요일,900,일반,1,0,0,0,0,0,0,0,0,거,성별오픈,0,0,0,0,0,0,0,윤호상,Yoon Ho Sang,002041, (0%),-,55,0(),0
3,4세이하,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,7000000,3220000,2100000,980000,700000,2,-,행복나루,HAENGBONGNARU,3108253,71,0,0,0,0,0,0,0,강수한,Kang Su Han,003077,제주,한국,0,천창수,CHEON CHANG SOO,001196,0,700만원 미만,제6등급,0,20260911,금요일,900,일반,1,0,0,0,0,0,0,0,0,수,성별오픈,0,0,0,0,0,0,0,김길홍,Kim Gil Hong,002038, (0%),-,55,0(),0
3,4세이하,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,7000000,3220000,2100000,980000,700000,1,-,천상비,CHEONSANGBI,3107573,71,0,0,0,0,0,0,0,원유일,Won You Il,003075,제주,한국,0,문애순,Mun Ae Sun,117042,0,700만원 미만,제6등급,0,20260911,금요일,900,일반,1,0,0,0,0,0,0,0,0,암,성별오픈,0,0,0,0,0,0,0,문성호,Mun Sung Ho,002039, (0%),-,55,0(),0
3,4세이하,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,7000000,3220000,2100000,980000,700000,4,-,출정식,CHULJEONGSIK,3107456,71,0,0,0,0,0,0,0,곽용남,Kwak Young Nam,003061,제주,한국,0,강춘시,KANG CHOON SI,001010,0,700만원 미만,제6등급,0,20260911,금요일,900,일반,1,0,0,0,0,0,0,0,0,암,성별오픈,0,0,0,0,0,0,0,윤덕상,Youn Duk Sang,002021, (0%),-,55,0(),0
3,4세이하,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,7000000,3220000,2100000,980000,700000,6,-,에스프리,ESPRI,3107316,71,0,0,0,0,0,0,0,박성광,Park Sung Kwang,003089,제주,한국,0,양우선,YANG WOO SUN,121041,0,700만원 미만,제6등급,0,20260911,금요일,900,일반,1,0,0,0,0,0,0,0,0,거,성별오픈,0,0,0,0,0,0,0,이준호,Lee Joon Ho,002029, (0%),-,55,0(),0
4,4세이하,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,7000000,3220000,2100000,980000,700000,3,-,킹콩스텝,KINGKONGSTEP,3104659,71,0,0,0,0,0,0,0,이동준,Lee Dong Jun,003086,제주,한국,0,김민규,KIM MINKYU,124018,0,700만원 미만,제6등급,0,20260911,금요일,900,일반,1,0,0,0,0,0,0,0,0,거,성별오픈,0,0,0,0,0,0,0,문성호,Mun Sung Ho,002039, (0%),-,55,0(),0
11,2세이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,10500000,4830000,3150000,1470000,1050000,7,-,광해전사,GWANGHAEJEONSA,3017214,71,0,0,0,0,0,0,0,장우성,Jang Woo Sung,003055,제주,한국,0,강진일,KANG JIN IL,001142,0,R1~20,제5등급,17,20260911,금요일,1000,일반,2,0,0,0,0,0,0,0,0,거,성별오픈,0,0,0,0,0,0,0,윤덕상,Youn Duk Sang,002021, (0%),-,58,0(),0
8,2세이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,10500000,4830000,3150000,1470000,1050000,6,-,뚜벅이,TTUBEOGI,3018679,71,0,0,0,0,0,0,0,양민재,Yang Min Jae,003096,제주,한국,0,허경화,HUR KYOUNG HWA,206033,0,R1~20,제5등급,14,20260911,금요일,1000,일반,2,0,0,0,0,0,0,0,0,거,성별오픈,0,0,0,0,0,0,0,변용호,Byoun Yong Ho,002013, (0%),-,56.5,0(),0
4,2세이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,핸디캡,0,0,0,10500000,4830000,3150000,1470000,1050000,2,-,으뜸여신,EUTTEUMYEOSIN,3104697,71,0,0,0,0,0,0,0,김준호,Kim Jun Ho,003081,제주,한국,0,김민규,KIM MINKYU,124018,0,R1~20,제5등급,16,20260911,금요일,1000,일반,2,0,0,0,0,0,0,0,0,암,성별오픈,0,0,0,0,0,0,0,강대은,Kang Dae Eun,002027, (0%),-,57.5,0(),0
