age,ageCond,buG1fAccTime,buG1fOrd,buG2fAccTime,buG2fOrd,buG3fAccTime,buG3fOrd,buG4fAccTime,buG4fOrd,buG6fAccTime,buG6fOrd,buG8fAccTime,buG8fOrd,buS1fAccTime,buS1fOrd,buS1fTime,bu_10_8fTime,bu_1fGTime,bu_2fGTime,bu_3fGTime,bu_4_2fTime,bu_6_4fTime,bu_8_6fTime,budam,buga1,buga2,buga3,chaksun1,chaksun2,chaksun3,chaksun4,chaksun5,chulNo,diffUnit,hrName,hrNameEn,hrNo,ilsu,jeG1fTime,jeG3fTime,jeS1fTime,je_1cTime,je_2cTime,je_3cTime,je_4cTime,jkName,jkNameEn,jkNo,meet,name,ord,owName,owNameEn,owNo,plcOdds,prizeCond,rank,rating,rcDate,rcDay,rcDist,rcName,rcNo,rcTime,seG1fAccTime,seG3fAccTime,seS1fAccTime,se_1cAccTime,se_2cAccTime,se_3cAccTime,se_4cAccTime,sex,sexCond,sjG1fOrd,sjG3fOrd,sjS1fOrd,sj_1cOrd,sj_2cOrd,sj_3cOrd,sj_4cOrd,trName,trNameEn,trNo,track,weather,wgBudam,wgHr,winOdds
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,8,-,태평에스지,TAEPYEONG SG,0056576,66,0,0,0,0,0,0,0,안드레,Andre Luiz Da Silva,080625,서울,한국,1,에스지이건설,S G E co,121013,1.4,R0~0,국6등급,0,20260823,일요일,1000,일반,1,61,47.5,23.7,13.4,0,0,13.4,29.5,수,성별오픈,2,3,3,0,0,3,3,박재우,Park Jae Woo,070164,포화 (16%),맑음,54.5,465(+9),7.4
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,4,코,라온카리스걸,RAON CHARIS GIRL,0056214,66,0,0,0,0,0,0,0,김태희,Kim Tae Hui,080603,서울,한국,2,손천수,Son Chun Soo,106025,1.5,R0~0,국6등급,0,20260823,일요일,1000,일반,1,61,48.7,25,14.1,0,0,14.1,31,암,성별오픈,5,6,6,0,0,6,6,이강서,Lee Kangseo,070304,포화 (16%),맑음,52.5,487(+7),5.6
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,6,2½,루나삭스,LUNA SOCKS,0056731,66,0,0,0,0,0,0,0,마이아,Ruan Merari Maia,080616,서울,한국,3,김창식,Kim Chang Sik,010352,1.1,R0~0,국6등급,0,20260823,일요일,1000,일반,1,61.4,47.4,23.4,13.3,0,0,13.3,29.1,암,성별오픈,1,2,2,0,0,2,2,이신우,Lee Shin Woo,070167,포화 (16%),맑음,52.5,475(+7),1.7
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,5,3,관악산점프,GWANAKSAN JUMP,0055194,66,0,0,0,0,0,0,0,빅투아르,Johan Victoire,080582,서울,한국,4,손병석,Son Byung Seok,123009,1.5,R0~0,국6등급,0,20260823,일요일,1000,일반,1,62,48.4,24.2,13.6,0,0,13.6,30.1,수,성별오픈,4,5,5,0,0,5,5,이준철,Lee Joon Chel,070197,포화 (16%),맑음,54.5,470(),6.9
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,1,2,블랙타임,BLACK TIME,0056701,66,0,0,0,0,0,0,0,임다빈,Lim Da Bin,080602,서울,한국,5,강승호,Kang Seung Ho,214773,3,R0~0,국6등급,0,20260823,일요일,1000,일반,1,62.3,47.7,23.3,13.2,0,0,13.2,29.1,암,성별오픈,3,1,1,0,0,1,1,박지헌,Park Jee Heon,070264,포화 (16%),맑음,52.5,443(+6),11.2
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,7,2½,스피드챔프,SPEED CHAMP,0060975,66,0,0,0,0,0,0,0,송재철,Song Jae Chul,080513,서울,한국,6,(주)디알엠씨티,D R M City,114026,4.1,R0~0,국6등급,0,20260823,일요일,1000,일반,1,62.8,49.2,25.1,14.3,0,0,14.3,31.1,수,성별오픈,6,7,8,0,0,8,7,송문길,Song Moon Gil,070179,포화 (16%),맑음,54.5,507(-4),21.3
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,2,3,블루피니시,BLUE FINISH,0056452,66,0,0,0,0,0,0,0,유승완,Yoo Seung Wan,080417,서울,한국,7,강현철,Kang Hyeon Cheol,117017,10,R0~0,국6등급,0,20260823,일요일,1000,일반,1,63.3,50.1,25.4,14.2,0,0,14.2,31.8,수,성별오픈,8,8,7,0,0,7,8,김동균,Kim Dong Kyun,070170,포화 (16%),맑음,54.5,487(+12),34.7
2,2세,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,24750000,9900000,6300000,2250000,1800000,3,5,퍼스트서귀,FIRST SEOGWI,0055402,66,0,0,0,0,0,0,0,조상범,Jo Sang Beom,080533,서울,한국,8,서귀포시축협,Seogwipo Chukhyup,105081,13.5,R0~0,국6등급,0,20260823,일요일,1000,일반,1,64.2,49.3,24,13.6,0,0,13.6,30,수,성별오픈,7,4,4,0,0,4,4,성상현,Seong Sanghyun,070289,포화 (16%),맑음,54.5,488(+4),49.4
2,남3/북2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,41250000,16500000,10500000,3750000,3000000,2,-,싱싱내쉬,SINGSING NASHE,0062429,66,0,0,0,0,0,0,0,조재로,Jo Jae Ro,080550,서울,미국,1,전석호,Jeon Seok Ho,114001,1,R0~50,혼4등급,38,20260823,일요일,1000,일반,2,58.8,46.4,23.5,13.2,0,0,13.2,29.4,수,성별오픈,1,1,1,0,0,1,1,배휴준,Bae Hou Jun,070144,포화 (16%),맑음,54.5,526(+9),1.4
2,남3/북2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,41250000,16500000,10500000,3750000,3000000,1,7,지비플래시,G B FLASH,0061458,66,0,0,0,0,0,0,0,정정희,Jeong Jeong Hee,080530,서울,미국,2,손병석,Son Byung Seok,123009,1.8,R0~50,혼4등급,38,20260823,일요일,1000,일반,2,60.1,47.2,24.1,13.9,0,0,13.9,29.8,거,성별오픈,2,5,5,0,0,5,3,리카디,Luigi Riccardi,070244,포화 (16%),맑음,54.5,521(+5),7
