id,이름,출주수,1착,2착,3착,승률%,복승률%,삼복승률%,평균착순
070165,서인석,1918,197,173,205,10.3,19.3,30.0,7.88
002029,이준호,1864,232,239,211,12.4,25.3,36.6,6.75
070181,이관호,1734,142,199,152,8.2,19.7,28.4,7.48
002033,강영진,1733,199,184,200,11.5,22.1,33.6,7.46
002034,이태용,1704,314,245,186,18.4,32.8,43.7,7.79
002021,윤덕상,1689,110,118,135,6.5,13.5,21.5,7.57
070086,권승주,1654,153,159,156,9.3,18.9,28.3,6.88
002026,고영덕,1627,242,193,201,14.9,26.7,39.1,7.03
070130,백광열,1601,209,207,155,13.1,26.0,35.7,6.8
070137,조용배,1580,43,68,99,2.7,7.0,13.3,8.16
002038,김길홍,1573,150,183,173,9.5,21.2,32.2,7.53
070134,강형곤,1537,104,108,123,6.8,13.8,21.8,7.37
002023,한상배,1484,92,102,116,6.2,13.1,20.9,8.29
070148,정호익,1466,138,142,150,9.4,19.1,29.3,7.36
002031,심도연,1445,181,159,158,12.5,23.5,34.5,7.17
070170,김동균,1420,108,135,158,7.6,17.1,28.2,7.16
070164,박재우,1388,127,148,125,9.1,19.8,28.8,7.85
070179,송문길,1381,177,147,169,12.8,23.5,35.7,6.48
002028,박병진,1379,132,142,163,9.6,19.9,31.7,7.84
002018,신경호,1339,159,149,148,11.9,23.0,34.1,6.5
002032,김태준,1323,119,120,131,9.0,18.1,28.0,7.74
002036,강태종,1316,166,145,137,12.6,23.6,34.0,7.08
070225,문병기,1288,171,138,137,13.3,24.0,34.6,6.65
070136,민장기,1190,110,118,116,9.2,19.2,28.9,6.81
070160,서홍수,1181,148,127,131,12.5,23.3,34.4,7.29
070186,라이스,1160,142,113,126,12.2,22.0,32.8,7.23
070194,토마스,1155,145,123,110,12.6,23.2,32.7,6.84
070175,강환민,1154,107,109,101,9.3,18.7,27.5,7.77
070174,강성오,1151,142,96,114,12.3,20.7,30.6,6.79
002013,변용호,1150,70,87,66,6.1,13.7,19.4,8.31
070200,최용건,1143,123,118,103,10.8,21.1,30.1,7.69
070146,안병기,1121,99,109,106,8.8,18.6,28.0,8.61
070117,박윤규,1114,70,88,70,6.3,14.2,20.5,9.44
002030,최기호,1113,54,81,92,4.9,12.1,20.4,8.58
070166,심승태,1053,54,76,95,5.1,12.3,21.4,8.19
070173,구민성,1043,109,107,89,10.5,20.7,29.2,6.58
070167,이신우,1027,86,87,113,8.4,16.8,27.8,7.88
070128,임금만,1023,108,127,95,10.6,23.0,32.3,6.43
070244,리카디,1004,176,155,107,17.5,33.0,43.6,7.17
070180,안우성,972,83,105,108,8.5,19.3,30.5,6.74
002027,강대은,970,67,102,86,6.9,17.4,26.3,7.62
070182,전승규,948,88,95,108,9.3,19.3,30.7,7.87
070197,이준철,916,143,121,105,15.6,28.8,40.3,6.09
070199,조현수,908,38,51,69,4.2,9.8,17.4,7.66
070198,임채덕,907,29,48,56,3.2,8.5,14.7,9.03
070176,구영준,886,72,67,72,8.1,15.7,23.8,7.16
070265,토니,877,99,100,82,11.3,22.7,32.0,6.71
070223,강은석,875,74,93,84,8.5,19.1,28.7,6.59
070141,이상영,860,81,85,81,9.4,19.3,28.7,6.15
070133,윤영훈,845,46,53,65,5.4,11.7,19.4,7.94
070143,하무선,844,56,55,62,6.6,13.2,20.5,7.69
070177,김동철,832,76,68,93,9.1,17.3,28.5,7.38
070226,박재호,820,71,61,74,8.7,16.1,25.1,7.18
070249,문현철,803,135,100,83,16.8,29.3,39.6,6.45
070161,신삼영,780,43,56,57,5.5,12.7,20.0,8.67
070129,최기홍,772,70,68,71,9.1,17.9,27.1,6.85
070096,서범석,735,60,57,51,8.2,15.9,22.9,8.01
070142,방동석,727,80,76,66,11.0,21.5,30.5,6.91
070163,박병일,717,76,64,66,10.6,19.5,28.7,8.09
070251,임성실,711,78,72,78,11.0,21.1,32.1,6.72
070248,함완식,686,62,56,73,9.0,17.2,27.8,7.21
070246,손병직,639,27,36,50,4.2,9.9,17.7,7.26
070144,배휴준,635,26,43,30,4.1,10.9,15.6,8.09
002039,문성호,486,23,36,36,4.7,12.1,19.5,7.95
070264,박지헌,449,51,39,48,11.4,20.0,30.7,6.51
002041,윤호상,412,11,23,42,2.7,8.3,18.4,8.77
070247,이동국,392,14,22,28,3.6,9.2,16.3,8.73
070263,양영남,341,13,23,32,3.8,10.6,19.9,7.61
070250,김도현,334,27,31,27,8.1,17.4,25.4,7.41
070115,박천서,295,26,15,25,8.8,13.9,22.4,9.89
002042,김대연,283,22,24,24,7.8,16.3,24.7,8.96
070291,유현명,270,30,29,23,11.1,21.9,30.4,6.88
070293,정하백,177,22,17,18,12.4,22.0,32.2,6.36
070306,홍윤화,173,16,15,17,9.2,17.9,27.7,6.52
070289,성상현,159,14,14,12,8.8,17.6,25.2,8.32
070292,김혜선,152,18,12,22,11.8,19.7,34.2,6.24
070302,손병철,37,3,9,3,8.1,32.4,40.5,7.38
070304,이강서,36,7,10,1,19.4,47.2,50.0,6.14
070300,백종수,31,4,8,1,12.9,38.7,41.9,8.1
070290,문세영,27,2,4,3,7.4,22.2,33.3,4.95
070305,차우호,17,0,1,1,0.0,5.9,11.8,8.23
070301,구현완,5,1,0,0,20.0,20.0,20.0,6.8
