race_id,pool,combo,odds
20150104_1_1,연승식,8,4.2
20150104_1_1,연승식,9,1.5
20150104_1_1,연승식,11,1.9
20150104_1_1,단승식,8,28.4
20150104_1_1,복연승식,8-9,12.2
20150104_1_1,복연승식,8-11,11
20150104_1_1,복연승식,9-11,3.5
20150104_1_1,복승식,8-11,39.4
20150104_1_1,쌍승식,8-11,114.6
20150104_1_1,삼복승식,8-9-11,45.7
20150104_1_2,연승식,2,6.4
20150104_1_2,연승식,3,1
20150104_1_2,연승식,5,2
20150104_1_2,단승식,3,1.1
20150104_1_2,복승식,2-3,18.9
20150104_1_2,쌍승식,3-2,22.1
20150104_1_2,복연승식,2-3,7
20150104_1_2,복연승식,2-5,31.2
20150104_1_2,복연승식,3-5,2.9
20150104_1_2,삼복승식,2-3-5,49.2
20150104_1_3,연승식,3,1
20150104_1_3,연승식,6,1.3
20150104_1_3,연승식,8,6.8
20150104_1_3,단승식,6,6.5
20150104_1_3,복승식,3-6,1.7
20150104_1_3,복연승식,3-6,1.2
20150104_1_3,복연승식,3-8,10.1
20150104_1_3,복연승식,6-8,13.9
20150104_1_3,쌍승식,6-3,7.4
20150104_1_3,삼복승식,3-6-8,19.3
20150104_1_4,연승식,1,4.9
20150104_1_4,연승식,5,1.7
20150104_1_4,연승식,6,3.8
20150104_1_4,단승식,5,4.1
20150104_1_4,복승식,1-5,41
20150104_1_4,복연승식,1-5,13
20150104_1_4,복연승식,1-6,31.6
20150104_1_4,복연승식,5-6,9.7
20150104_1_4,쌍승식,5-1,59.5
20150104_1_4,삼복승식,1-5-6,204.3
20150104_1_5,연승식,9,2.2
20150104_1_5,연승식,10,1.4
20150104_1_5,단승식,10,3.6
20150104_1_5,연승식,11,2.4
20150104_1_5,복연승식,9-10,4.8
20150104_1_5,복승식,10-11,15.6
20150104_1_5,복연승식,9-11,12.5
20150104_1_5,복연승식,10-11,4.5
20150104_1_5,쌍승식,10-11,26.2
20150104_1_5,삼복승식,9-10-11,36.3
20150104_1_6,연승식,6,1.6
20150104_1_6,연승식,7,1.3
20150104_1_6,연승식,9,1.9
20150104_1_6,단승식,7,2.7
20150104_1_6,복승식,6-7,5.8
20150104_1_6,쌍승식,7-6,9.8
20150104_1_6,복연승식,6-7,2.4
20150104_1_6,복연승식,6-9,4.7
20150104_1_6,복연승식,7-9,3.4
20150104_1_6,삼복승식,6-7-9,11.9
20150104_1_7,연승식,2,2.1
20150104_1_7,연승식,4,1.4
