display_order,group_code,code,source_column,name_ko,desc,tier,tier_ko,realtime,direction,role,ref_win_rate_bp,ref_races
1,CONDITION,starts_life,F1_starts_life,통산 출주수 (as-of),통산 출주수 (as-of) — **F1 신뢰도 가중치로 쓸 것**. 전체 행의 24.5%가 3경주 이하,A,전일 확정,True,-1,PRIMARY,2503,879
2,CONDITION,win_rate_life,F1_win_rate_life,통산 승률 (as-of),통산 승률 (as-of),A,전일 확정,True,1,PRIMARY,2892,823
3,CONDITION,ord_avg3,F1_ord_avg3,최근 3경주 평균 착순,최근 3경주 평균 착순,A,전일 확정,True,-1,PRIMARY,2844,1069
4,CONDITION,recent5_avg_rank,F1_ordpct_avg5,최근 5경주 상대착순 (두수 보정),최근 5경주 상대착순 (두수 보정),A,전일 확정,True,-1,PRIMARY,2953,1219
5,CONDITION,prize_365,F1_prize_365,최근 1년 획득상금,최근 1년 획득상금,A,전일 확정,True,1,PRIMARY,1991,688
6,CONDITION,grade_move,F1_grade_move,등급 변동 +승급/0/-강급,등급 변동 +승급/0/-강급,A,전일 확정,True,1,PRIMARY,2164,305
7,CONDITION,layoff_days,F1_layoff_days,**진짜 휴양일수**,**진짜 휴양일수** — 원장 ilsu 는 개최일 순번이라 못 씀. 직전 출전 이후 경과일,A,전일 확정,True,1,PRIMARY,877,1140
8,CONDITION,first_start,F1_first_start,신마 0/1 (전체 6.7%),신마 0/1 (전체 6.7%),A,전일 확정,True,1,PRIMARY,1515,66
9,CONDITION,tr_sessions_28d,F1_tr_sessions_28d,28일 조교 횟수,28일 조교 횟수,A,전일 확정,True,1,PRIMARY,978,685
10,CONDITION,tr_jk_ridden_28d,F1_tr_jk_ridden_28d,28일 중 **기수 기승** 조교 횟수,28일 중 **기수 기승** 조교 횟수 — 본격 준비 신호 (전체의 26%),A,전일 확정,True,1,PRIMARY,945,201
11,CONDITION,win_rate_life_z,F1_win_rate_life_z,경주 내 z-score,경주 내 z-score — 통산 승률 (as-of),A,전일 확정,True,1,DERIVED,2890,820
12,CONDITION,win_rate_life_rk,F1_win_rate_life_rk,경주 내 순위 백분위,경주 내 순위 백분위 — 통산 승률 (as-of),A,전일 확정,True,1,DERIVED,2892,823
13,CONDITION,recent5_avg_rank_z,F1_ordpct_avg5_z,경주 내 z-score,경주 내 z-score — 최근 5경주 상대착순 (두수 보정),A,전일 확정,True,-1,DERIVED,2953,1219
14,CONDITION,recent5_avg_rank_rk,F1_ordpct_avg5_rk,경주 내 순위 백분위,경주 내 순위 백분위 — 최근 5경주 상대착순 (두수 보정),A,전일 확정,True,-1,DERIVED,2947,1225
15,SPEED,speed_index,F1_speed_avg3,최근 3경주 평균 스피드지수,최근 3경주 평균 스피드지수,A,전일 확정,True,1,PRIMARY,2412,1252
16,SPEED,speed_index_z,F1_speed_avg3_z,경주 내 z-score,경주 내 z-score — 최근 3경주 평균 스피드지수,A,전일 확정,True,1,DERIVED,2410,1249
17,SPEED,speed_index_rk,F1_speed_avg3_rk,경주 내 순위 백분위,경주 내 순위 백분위 — 최근 3경주 평균 스피드지수,A,전일 확정,True,1,DERIVED,2412,1252
18,SPEED,ebv_time,F2_ebv_time,주파기록 육종가(초),주파기록 육종가(초) — 음수일수록 빠름,A,전일 확정,True,-1,PRIMARY,1822,922
19,RUNNING,early_pace,F5_early_pos,과거 평균 초반 상대위치 (0=선두),과거 평균 초반 상대위치 (0=선두),A,전일 확정,True,-1,PRIMARY,2072,1226
20,RUNNING,pos_gain,F5_pos_gain,초반→결승 순위 상승폭. 양수=추입형,초반→결승 순위 상승폭. 양수=추입형,A,전일 확정,True,1,PRIMARY,1384,1243
21,RUNNING,late_pace,F5_g3f_time,과거 평균 상3F (정규화),과거 평균 상3F (정규화) — 막판 각력,A,전일 확정,True,1,PRIMARY,2273,1232
22,RUNNING,sect_n,F5_sect_n,구간기록 보유 과거 경주 수,구간기록 보유 과거 경주 수 — 신뢰도,A,전일 확정,True,-1,PRIMARY,2488,856
23,RUNNING,early_pace_z,F5_early_pos_z,경주 내 z-score,경주 내 z-score — 과거 평균 초반 상대위치 (0=선두),A,전일 확정,True,-1,DERIVED,2072,1226
24,RUNNING,early_pace_rk,F5_early_pos_rk,경주 내 순위 백분위,경주 내 순위 백분위 — 과거 평균 초반 상대위치 (0=선두),A,전일 확정,True,-1,DERIVED,2072,1226
