race_id,chulNo,hrNo,ax_condition,ax_speed,ax_running,ax_jockey,ax_environment,ax_ability,ax_market,starts_life,rv_starts_life,win_rate_life,rv_win_rate_life,ord_avg3,rv_ord_avg3,recent5_avg_rank,rv_recent5_avg_rank,prize_365,rv_prize_365,grade_move,rv_grade_move,layoff_days,rv_layoff_days,first_start,rv_first_start,tr_sessions_28d,rv_tr_sessions_28d,tr_jk_ridden_28d,rv_tr_jk_ridden_28d,speed_index,rv_speed_index,ebv_time,rv_ebv_time,early_pace,rv_early_pace,pos_gain,rv_pos_gain,late_pace,rv_late_pace,sect_n,rv_sect_n,jockey_win_rate,rv_jockey_win_rate,jk_win_rate_life,rv_jk_win_rate_life,jk_win_rate_dist,rv_jk_win_rate_dist,tr_win_rate_365,rv_tr_win_rate_365,jkhr_starts,rv_jkhr_starts,jkhr_win_rate,rv_jkhr_win_rate,hr_dist_win_rate,rv_hr_dist_win_rate,dist_gap,rv_dist_gap,wet_track_rate,rv_wet_track_rate,ebv_sprint,rv_ebv_sprint,ebv_route,rv_ebv_route,ebv_dist_fit,rv_ebv_dist_fit,rating,rv_rating,ebv_prize,rv_ebv_prize,ebv_acc,rv_ebv_acc,ebv_ssgblup,rv_ebv_ssgblup,inbreeding,rv_inbreeding,sire_win_rate,rv_sire_win_rate,sire_prog_n,rv_sire_prog_n,raw_prob,model_version
20150104_1_1,1,0030684,100.0,33.3,33.3,58.3,16.7,91.7,33.3,0.0,17.0,54.5,0.0,27.3,9.333,36.4,0.815,54.2,0.0,59.1,0.0,22.7,28.0,50.0,0.0,83.3,15.0,54.2,0.0,45.5,84.786,50.0,,18.2,0.75,90.9,0.06,45.5,-1.306,0.0,17.0,33.3,0.05,41.7,0.069,25.0,0.064,66.7,0.093,16.7,0.0,50.0,,55.0,0.0,27.3,0.0,54.5,0.0,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,16.7,0.058,16.7,5.0,0.06509,2026-09-15-axis77
20150104_1_1,2,0029686,66.7,83.3,75.0,50.0,83.3,50.0,100.0,25.0,5.0,54.5,0.0,72.7,6.333,54.5,0.611,54.2,0.0,59.1,0.0,22.7,28.0,50.0,0.0,37.5,10.0,54.2,0.0,90.9,90.635,50.0,,54.5,0.447,45.5,-0.164,63.6,-0.82,27.3,5.0,25.0,0.045,75.0,0.08,75.0,0.114,100.0,0.118,45.8,1.0,55.6,0.0,55.0,0.0,63.6,100.0,54.5,0.0,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,0.10983,2026-09-15-axis77
20150104_1_1,3,0032938,25.0,75.0,83.3,16.7,33.3,75.0,66.7,41.7,3.0,54.5,0.0,63.6,6.667,68.2,0.545,54.2,0.0,59.1,0.0,54.5,29.0,50.0,0.0,20.8,8.0,54.2,0.0,81.8,89.846,50.0,,81.8,0.23,27.3,-0.315,81.8,-0.433,45.5,3.0,58.3,0.066,66.7,0.077,66.7,0.109,16.7,0.035,45.8,1.0,55.6,0.0,55.0,0.0,90.9,200.0,54.5,0.0,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,83.3,0.121,91.7,58.0,0.05022,2026-09-15-axis77
20150104_1_1,4,0031556,33.3,25.0,50.0,41.7,8.3,66.7,8.3,41.7,3.0,54.5,0.0,0.0,11.333,0.0,0.97,54.2,0.0,59.1,0.0,90.9,36.0,50.0,0.0,95.8,17.0,54.2,0.0,27.3,82.362,50.0,,72.7,0.248,9.1,-0.721,72.7,-0.467,45.5,3.0,16.7,0.031,16.7,0.054,33.3,0.065,33.3,0.067,83.3,2.0,55.6,0.0,55.0,0.0,90.9,200.0,54.5,0.0,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,100.0,0.13,50.0,43.0,0.02956,2026-09-15-axis77
20150104_1_1,5,0029530,50.0,16.7,25.0,75.0,41.7,33.3,25.0,41.7,3.0,54.5,0.0,9.1,11.0,9.1,0.873,54.2,0.0,59.1,0.0,90.9,36.0,50.0,0.0,95.8,17.0,54.2,0.0,18.2,80.934,50.0,,27.3,0.732,54.5,-0.141,9.1,-2.2,45.5,3.0,75.0,0.092,50.0,0.071,50.0,0.081,75.0,0.097,16.7,0.0,50.0,,55.0,0.0,27.3,0.0,54.5,0.0,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,0.03572,2026-09-15-axis77
20150104_1_1,6,0029691,16.7,8.3,16.7,8.3,66.7,16.7,16.7,66.7,2.0,54.5,0.0,18.2,10.5,18.2,0.864,54.2,0.0,59.1,0.0,54.5,29.0,50.0,0.0,8.3,7.0,54.2,0.0,9.1,80.03,50.0,,0.0,0.773,72.7,-0.091,18.2,-2.15,72.7,2.0,50.0,0.062,33.3,0.061,41.7,0.072,8.3,0.008,83.3,2.0,55.6,0.0,55.0,0.0,27.3,0.0,54.5,0.0,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,0.01332,2026-09-15-axis77
20150104_1_1,7,0028868,75.0,41.7,91.7,33.3,100.0,25.0,41.7,16.7,7.0,54.5,0.0,45.5,8.333,45.5,0.682,54.2,0.0,59.1,0.0,9.1,21.0,50.0,0.0,58.3,13.0,54.2,0.0,54.5,85.234,50.0,,63.6,0.318,18.2,-0.39,100.0,-0.371,18.2,7.0,41.7,0.052,25.0,0.06,16.7,0.055,50.0,0.075,83.3,2.0,55.6,0.0,55.0,0.0,63.6,100.0,54.5,0.0,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,0.07898,2026-09-15-axis77
20150104_1_1,8,0030033,83.3,50.0,8.3,25.0,25.0,8.3,50.0,8.3,9.0,54.5,0.0,36.4,8.667,27.3,0.846,54.2,0.0,9.1,-2.0,54.5,29.0,50.0,0.0,58.3,13.0,54.2,0.0,72.7,87.561,50.0,,9.1,0.757,63.6,-0.136,36.4,-1.389,9.1,9.0,8.3,0.022,8.3,0.038,8.3,0.033,25.0,0.065,45.8,1.0,55.6,0.0,55.0,0.0,90.9,200.0,54.5,0.0,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,0.0249,2026-09-15-axis77
20150104_1_1,9,0031378,58.3,91.7,100.0,83.3,58.3,100.0,91.7,66.7,2.0,54.5,0.0,90.9,4.5,90.9,0.341,54.2,0.0,59.1,0.0,54.5,29.0,50.0,0.0,20.8,8.0,54.2,0.0,100.0,90.762,50.0,,90.9,0.05,36.4,-0.291,90.9,-0.4,72.7,2.0,66.7,0.082,58.3,0.072,58.3,0.085,83.3,0.1,83.3,2.0,55.6,0.0,55.0,0.0,27.3,0.0,54.5,0.0,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,0.119,66.7,47.0,0.21482,2026-09-15-axis77
20150104_1_1,10,0031845,91.7,66.7,66.7,100.0,91.7,83.3,75.0,83.3,1.0,54.5,0.0,81.8,5.0,81.8,0.364,54.2,0.0,59.1,0.0,54.5,29.0,50.0,0.0,75.0,14.0,54.2,0.0,63.6,85.903,50.0,,45.5,0.455,100.0,0.091,27.3,-1.7,90.9,1.0,100.0,0.153,91.7,0.141,83.3,0.131,58.3,0.091,45.8,1.0,55.6,0.0,55.0,0.0,27.3,0.0,54.5,0.0,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,50.0,,66.7,0.121,91.7,58.0,0.2274,2026-09-15-axis77
