장,R,발주,두수,픽1,일착,배당,적중,연승,삼픽,순위,시장,갈림
서울,1,1035,10,에이케이준,에이케이준,5.2,O,O,O,1,마이티로그,★
제주,1,1100,7,무주여신,황제대로,9.2,X,O,O,3,무주여신,
서울,2,1125,10,라온폴리스,툰테자,47.2,X,O,X,6,라온폴리스,
제주,2,1205,7,제성백호,제성백호,2.4,O,O,O,1,제성백호,
서울,3,1245,11,고산봉,스카일러태하,6.7,X,X,X,4,엑스칼리버,★
제주,3,1310,7,스트롱캣,스트롱캣,2.0,O,O,O,1,스트롱캣,
서울,4,1335,9,일급비술,제주블루,6.1,X,X,O,3,일급비술,
제주,4,1400,7,별빛최강,대별왕,6.3,X,O,X,5,대륙황후,★
서울,5,1425,11,순간의파이터,마이티아미,56.9,X,O,X,9,브리도갤럭시,★
제주,5,1450,7,새벽전설,동안질주,5.8,X,O,X,4,새벽전설,
서울,6,1515,11,이클립스베이,신한에이스,6.7,X,X,X,4,제축산지로,★
제주,6,1540,7,별빛천하,청룡에이스,5.7,X,O,X,5,별빛천하,
서울,7,1605,11,마이던,더선스토리,2.5,X,X,O,3,더선스토리,★
제주,7,1630,7,드림볼트,드림볼트,1.9,O,O,O,1,드림볼트,
서울,8,1655,10,리플렉트,번개루이스,1.5,X,X,O,2,번개루이스,★
서울,9,1725,10,루프톱,런와일드,6.2,X,X,X,5,이스트강적,★
서울,10,1755,11,콩코드블루,마이티조이,25.2,X,O,X,5,콩코드블루,
