날짜,장,R,발주,두수,픽1,일착,배당,적중,연승,삼픽,순위,시장,갈림
09/12,서울,1,1035,10,에이케이준,에이케이준,5.2,O,O,O,1,마이티로그,★
09/12,제주,1,1100,7,무주여신,황제대로,9.2,X,O,O,3,무주여신,
09/12,서울,2,1125,10,라온폴리스,툰테자,47.2,X,O,X,6,라온폴리스,
09/12,제주,2,1205,7,제성백호,제성백호,2.4,O,O,O,1,제성백호,
09/12,서울,3,1245,11,고산봉,스카일러태하,6.7,X,X,X,4,엑스칼리버,★
09/12,제주,3,1310,7,스트롱캣,스트롱캣,2.0,O,O,O,1,스트롱캣,
09/12,서울,4,1335,9,일급비술,제주블루,6.1,X,X,O,3,일급비술,
09/12,제주,4,1400,7,별빛최강,대별왕,6.3,X,O,X,5,대륙황후,★
09/12,서울,5,1425,11,순간의파이터,마이티아미,56.9,X,O,X,9,브리도갤럭시,★
09/12,제주,5,1450,7,새벽전설,동안질주,5.8,X,O,X,4,새벽전설,
09/12,서울,6,1515,11,이클립스베이,신한에이스,6.7,X,X,X,4,제축산지로,★
09/12,제주,6,1540,7,별빛천하,청룡에이스,5.7,X,O,X,5,별빛천하,
09/12,서울,7,1605,11,마이던,더선스토리,2.5,X,X,O,3,더선스토리,★
09/12,제주,7,1630,7,드림볼트,드림볼트,1.9,O,O,O,1,드림볼트,
09/12,서울,8,1655,10,리플렉트,번개루이스,1.5,X,X,O,2,번개루이스,★
09/12,서울,9,1725,10,루프톱,런와일드,6.2,X,X,X,5,이스트강적,★
09/12,서울,10,1755,11,콩코드블루,마이티조이,25.2,X,O,X,5,콩코드블루,
09/13,서울,1,1035,9,피오라노,선더마타,20.9,X,O,X,4,피오라노,
09/13,서울,2,1100,11,마이티챔프,월드오브드림,3.5,X,X,X,4,마이티챔프,
09/13,서울,3,1125,11,블루하와이,블루하와이,1.5,O,O,O,1,블루하와이,
09/13,서울,4,1205,11,라온더토니,라스트케이,2.2,X,X,X,4,라스트케이,★
09/13,서울,5,1310,11,파워매직,이클립스서니,11.1,X,O,O,3,파워매직,
09/13,서울,6,1400,11,로드투챔피언,로드투챔피언,1.8,O,O,O,1,로드투챔피언,
09/13,서울,7,1450,11,라온피날레,타이거불패,3.2,X,O,O,3,라온피날레,
09/13,서울,8,1540,9,클러치더비,메이저퓨리,4.3,X,O,O,2,삼정셰프,★
09/13,서울,9,1655,11,파드슈발,프리메로,3.5,X,X,O,3,라이언비트,★
09/13,서울,10,1725,9,닌자타이거,우승진리,8.3,X,O,O,3,무제한급,★
09/13,서울,11,1755,11,글로리영광,천궁스톰,7.0,X,X,X,8,글로리영광,
