날짜,장,R,두수,일착,배당,기본픽,역배픽,기본순위,역배순위,기본적중,역배적중,이변
09/12,서울,1,10,에이케이준,5.2,에이케이준,에이케이준,1,1,1,1,False
09/12,서울,2,10,툰테자,47.2,라온폴리스,라온폴리스,6,6,0,0,True
09/12,서울,3,11,스카일러태하,6.7,고산봉,고산봉,4,3,0,0,False
09/12,서울,4,9,제주블루,6.1,일급비술,제주블루,3,1,0,1,False
09/12,서울,5,11,마이티아미,56.9,순간의파이터,순간의파이터,9,8,0,0,True
09/12,서울,6,11,신한에이스,6.7,이클립스베이,이클립스베이,4,3,0,0,False
09/12,서울,7,11,더선스토리,2.5,마이던,마이던,3,6,0,0,False
09/12,서울,8,10,번개루이스,1.5,리플렉트,리플렉트,2,2,0,0,False
09/12,서울,9,10,런와일드,6.2,루프톱,루프톱,5,4,0,0,False
09/12,서울,10,11,마이티조이,25.2,콩코드블루,콩코드블루,5,5,0,0,True
09/12,제주,1,7,황제대로,9.2,무주여신,무주여신,3,2,0,0,False
09/12,제주,2,7,제성백호,2.4,제성백호,제성백호,1,1,1,1,False
09/12,제주,3,7,스트롱캣,2.0,스트롱캣,스트롱캣,1,1,1,1,False
09/12,제주,4,7,대별왕,6.3,별빛최강,별빛최강,5,4,0,0,False
09/12,제주,5,7,동안질주,5.8,새벽전설,새벽전설,4,5,0,0,False
09/12,제주,6,7,청룡에이스,5.7,별빛천하,별빛천하,5,5,0,0,False
09/12,제주,7,7,드림볼트,1.9,드림볼트,월평천하,1,4,1,0,False
09/13,서울,1,9,선더마타,20.9,피오라노,피오라노,4,3,0,0,True
09/13,서울,2,11,월드오브드림,3.5,마이티챔프,마이티챔프,4,7,0,0,False
09/13,서울,3,11,블루하와이,1.5,블루하와이,블루하와이,1,1,1,1,False
09/13,서울,4,11,라스트케이,2.2,라온더토니,크레이지챔프,4,6,0,0,False
09/13,서울,5,11,이클립스서니,11.1,파워매직,레이스디바,3,3,0,0,False
09/13,서울,6,11,로드투챔피언,1.8,로드투챔피언,로드투챔피언,1,1,1,1,False
09/13,서울,7,11,타이거불패,3.2,라온피날레,라온피날레,3,5,0,0,False
09/13,서울,8,9,메이저퓨리,4.3,클러치더비,메이저퓨리,2,1,0,1,False
09/13,서울,9,11,프리메로,3.5,파드슈발,파드슈발,3,6,0,0,False
09/13,서울,10,9,우승진리,8.3,닌자타이거,닌자타이거,3,2,0,0,False
09/13,서울,11,11,천궁스톰,7.0,글로리영광,글로리영광,8,8,0,0,False
